cs_j7568_RABGGTB,RABGGTB
cs_j11247_DNM1L,DNM1L
cs_j13298_ORMDL1,ORMDL1
cs_j11443_AGT,AGT
cs_q9377_ZFPL1,ZFPL1
cs_q5293_SGOL2,SGOL2
cs_j10480_FAM71F2,FAM71F2
cs_b9834_ODF2L,ODF2L
cs_j10965_NPM2,NPM2
cs_b5474_C8orf74,C8orf74
cs_b5793_ARHGEF10,ARHGEF10
cs_b5737_HMBS,HMBS
cs_q7744_FAM71F2,FAM71F2
cs_b9913_PDK3,PDK3
cs_j11521_FDPS,FDPS
cs_b11345_ATP6V0A2,ATP6V0A2
cs_j13034_NUDT1,NUDT1
cs_j5537_HDHD3,HDHD3
cs_j7926_EEF1G,EEF1G
cs_j7352_ILF2,ILF2
cs_j10213_PAPSS1,PAPSS1
cs_q10551_PTPRU,PTPRU
cs_b5820_TXNDC15,TXNDC15
cs_b6064_NUDT18,NUDT18
cs_j9137_RPP25,RPP25
cs_b6776_AMDHD1,AMDHD1
cs_j11619_SMTNL2,SMTNL2
cs_j10022_RNF14,RNF14
cs_b9037_RHOBTB3,RHOBTB3
cs_q10370_ATP6V0E2,ATP6V0E2
cs_b6957_GCDH,GCDH
cs_q10746_TRPT1,TRPT1
cs_b9370_KIF22,KIF22
cs_q7441_SLC27A6,SLC27A6
cs_j10098_MSRB3,MSRB3
cs_q8460_DTX3L,DTX3L
cs_q5894_ERGIC3,ERGIC3
cs_b9132_C16orf54,C16orf54
cs_q7075_RBM17,RBM17
cs_q5321_ECH1,ECH1
cs_b10523_ASS1,ASS1
cs_j11939_SNX24,SNX24
cs_b12690_CRIP1,CRIP1
cs_j6661_CDK4,CDK4
cs_q4310_QTRT1,QTRT1
cs_b3608_POPDC3,POPDC3
cs_q7517_TBRG4,TBRG4
cs_j12462_GRPR,GRPR
cs_q10049_NSG2,NSG2
cs_q5009_MRPS31,MRPS31
cs_q10859_CTNNBIP1,CTNNBIP1
cs_j4721_EBP,EBP
cs_b9408_ACOX2,ACOX2
cs_b7314_SPA17,SPA17
cs_b10629_THEMIS,THEMIS
cs_b6254_TMEM79,TMEM79
cs_b5505_PRRC2B,PRRC2B
cs_b7088_CHRNB3,CHRNB3
cs_j3520_ANKRD44,ANKRD44
cs_q9002_SPATA13,SPATA13
cs_j6641_ADAP2,ADAP2
cs_b11927_MBLAC2,MBLAC2
cs_j12899_CINP,CINP
cs_j4940_ERGIC2,ERGIC2
cs_j7782_LOXL2,LOXL2
cs_b12075_ZKSCAN4,ZKSCAN4
cs_b10543_LAMP3,LAMP3
cs_j6326_TSPAN5,TSPAN5
cs_b9112_IL22RA2,IL22RA2
cs_q8039_WDTC1,WDTC1
cs_j13254_C9orf116,C9orf116
cs_q6375_CCDC48,CCDC48
cs_j7491_EIF3M,EIF3M
cs_q10164_SCNN1D,SCNN1D
cs_j7113_MYADM,MYADM
cs_j12288_GABRG2,GABRG2
cs_j9990_SETD6,SETD6
cs_q7835_FANCE,FANCE
cs_j7647_ALG2,ALG2
cs_q10590_PNMA5,PNMA5
cs_j9162_TRNAU1AP,TRNAU1AP
cs_j8621_CPB2,CPB2
cs_j11587_CCDC83,CCDC83
cs_j13056_MAX,MAX
cs_q7482_FDXACB1,FDXACB1
cs_j8171_ASPDH,ASPDH
cs_j12611_ST3GAL1,ST3GAL1
cs_j9094_CCDC117,CCDC117
cs_b8975_WDR16,WDR16
cs_b11067_IKBIP,IKBIP
cs_b5273_FHL3,FHL3
cs_q11092_CCDC69,CCDC69
cs_q6668_UBTD2,UBTD2
cs_j8907_ATP6AP2,ATP6AP2
cs_j9970_IFNA2,IFNA2
cs_b11913_NR1D2,NR1D2
cs_b3732_GNB2L1,GNB2L1
cs_j9386_ZNF19,ZNF19
cs_b5012_NDUFS1,NDUFS1
cs_b10892_C17orf64,C17orf64
cs_b9384_HSPA9,HSPA9
cs_b8959_NTRK3,NTRK3
cs_q8253_SNTG2,SNTG2
cs_b9172_C9orf106,C9orf106
cs_b11562_CASC1,CASC1
cs_b8202_ALDH8A1,ALDH8A1
cs_q8215_BROX,BROX
cs_b11131_NODAL,NODAL
cs_b11648_POC5,POC5
cs_q4838_LANCL1,LANCL1
cs_q6621_EVI2A,EVI2A
cs_j12475_CD7,CD7
cs_q6869_C21orf70,C21orf70
cs_b5143_STX6,STX6
cs_q6474_SPANXN3,SPANXN3
cs_j9995_AK8,AK8
cs_b4418_ADORA3,ADORA3
cs_q4627_PRG2,PRG2
cs_q9931_GSTO2,GSTO2
cs_j9529_PTPRN,PTPRN
cs_j13483_FBXO5,FBXO5
cs_j5727_TSHR,TSHR
cs_j13292_SYNC,SYNC
cs_b10993_ADAM17,ADAM17
cs_j7039_MAT2A,MAT2A
cs_b13040_EXOSC1,EXOSC1
cs_q10227_CRABP1,CRABP1
cs_b11313_DEFB4A,DEFB4A
cs_j7120_SESN3,SESN3
cs_q10924_LZIC,LZIC
cs_j12083_SPRED1,SPRED1
cs_j12646_SLC25A43,SLC25A43
cs_q6851_DMP1,DMP1
cs_b10355_DGCR8,DGCR8
